Action,Memory_Utilization
867,0.452430
868,0.452249
869,0.452035
870,0.451856
871,0.451643
872,0.451397
873,0.451185
874,0.450939
875,0.450661
876,0.450349
877,0.450004
878,0.449694
879,0.449350
880,0.448974
881,0.448566
882,0.448124
883,0.447717
884,0.447278
885,0.446806
886,0.446301
887,0.445832
888,0.445329
889,0.444862
890,0.444362
891,0.443896
892,0.443465
893,0.443002
894,0.442572
895,0.442177
896,0.441750
897,0.441290
898,0.440799
899,0.440341
900,0.439918
901,0.439462
902,0.438975
903,0.438489
904,0.438004
905,0.437520
906,0.437070
907,0.436588
908,0.436140
909,0.435725
910,0.435344
911,0.434931
912,0.434486
913,0.434075
914,0.433633
915,0.433159
916,0.432686
917,0.432214
918,0.431743
919,0.431306
920,0.430837
921,0.430401
922,0.429999
923,0.429565
924,0.429164
925,0.428796
926,0.428397
927,0.427967
928,0.427569
929,0.427141
930,0.426682
931,0.426255
932,0.425861
933,0.425436
934,0.425044
935,0.424685
936,0.424357
937,0.424062
938,0.423737
939,0.423443
940,0.423118
941,0.422763
942,0.422377
943,0.422023
944,0.421639
945,0.421287
946,0.420904
947,0.420553
948,0.420172
949,0.419823
950,0.419505
951,0.419220
952,0.418904
953,0.418558
954,0.418181
955,0.417774
956,0.417337
957,0.416901
958,0.416497
959,0.416062
960,0.415660
961,0.415227
962,0.414826
963,0.414457
964,0.414119
965,0.413813
966,0.413537
967,0.413293
968,0.413080
969,0.412837
970,0.412625
971,0.412383
972,0.412111
973,0.411809
974,0.411538
975,0.411298
976,0.411089
977,0.410850
978,0.410581
979,0.410283
980,0.410015
981,0.409718
982,0.409451
983,0.409155
984,0.408890
985,0.408595
986,0.408331
987,0.408097
988,0.407893
989,0.407720
990,0.407518
991,0.407345
992,0.407144
993,0.406912
994,0.406652
995,0.406422
996,0.406162
997,0.405874
998,0.405615
999,0.405387
1000,0.405129
