Action,Memory_Utilization
672,0.464127
673,0.464636
674,0.465080
675,0.465460
676,0.465903
677,0.466281
678,0.466595
679,0.466971
680,0.467283
681,0.467657
682,0.467967
683,0.468214
684,0.468399
685,0.468521
686,0.468704
687,0.468949
688,0.469132
689,0.469375
690,0.469556
691,0.469799
692,0.469979
693,0.470097
694,0.470154
695,0.470271
696,0.470450
697,0.470567
698,0.470623
699,0.470739
700,0.470916
701,0.471152
702,0.471328
703,0.471443
704,0.471497
705,0.471611
706,0.471785
707,0.471898
708,0.471952
709,0.471945
710,0.471878
711,0.471871
712,0.471805
713,0.471798
714,0.471851
715,0.471844
716,0.471897
717,0.472008
718,0.472061
719,0.472054
720,0.472106
721,0.472217
722,0.472268
723,0.472261
724,0.472195
725,0.472071
726,0.471889
727,0.471765
728,0.471700
729,0.471577
730,0.471513
731,0.471391
732,0.471211
733,0.470973
734,0.470795
735,0.470674
736,0.470611
737,0.470606
738,0.470659
739,0.470654
740,0.470592
741,0.470473
742,0.470411
743,0.470292
744,0.470231
745,0.470226
746,0.470279
747,0.470388
748,0.470554
749,0.470663
750,0.470715
751,0.470823
752,0.470987
753,0.471095
754,0.471146
755,0.471140
756,0.471191
757,0.471186
758,0.471124
759,0.471119
760,0.471169
761,0.471275
762,0.471326
763,0.471320
764,0.471259
765,0.471142
766,0.471082
767,0.470966
768,0.470795
769,0.470679
770,0.470509
771,0.470285
772,0.470005
773,0.469672
774,0.469394
775,0.469063
776,0.468677
777,0.468347
778,0.467963
779,0.467526
780,0.467036
781,0.466492
782,0.465895
783,0.465300
784,0.464761
785,0.464277
786,0.463740
787,0.463259
788,0.462725
789,0.462246
790,0.461822
791,0.461346
792,0.460924
793,0.460557
794,0.460138
795,0.459772
796,0.459355
797,0.458885
798,0.458363
799,0.457789
800,0.457217
801,0.456699
802,0.456236
803,0.455826
804,0.455365
805,0.454958
806,0.454604
807,0.454304
808,0.454057
809,0.453758
810,0.453407
811,0.453005
812,0.452657
813,0.452361
814,0.452014
815,0.451720
816,0.451374
817,0.451082
818,0.450842
819,0.450654
820,0.450519
821,0.450332
822,0.450197
823,0.450011
824,0.449774
825,0.449487
826,0.449148
827,0.448862
828,0.448627
829,0.448445
830,0.448211
831,0.447927
832,0.447593
833,0.447209
834,0.446774
835,0.446392
836,0.445959
837,0.445477
838,0.444946
839,0.444415
840,0.443886
841,0.443409
842,0.442882
843,0.442357
844,0.441833
845,0.441360
846,0.440939
847,0.440569
848,0.440249
849,0.439981
850,0.439763
851,0.439596
852,0.439379
853,0.439212
854,0.438996
855,0.438830
856,0.438615
857,0.438450
858,0.438236
859,0.437973
860,0.437661
861,0.437399
862,0.437188
863,0.437025
864,0.436913
865,0.436849
866,0.436835
867,0.436772
868,0.436660
869,0.436500
870,0.436291
871,0.436131
872,0.436021
873,0.435959
874,0.435946
875,0.435884
876,0.435871
877,0.435907
878,0.435894
879,0.435930
880,0.436013
881,0.436048
882,0.436132
883,0.436263
884,0.436442
885,0.436668
886,0.436942
887,0.437168
888,0.437440
889,0.437665
890,0.437841
891,0.437969
892,0.438144
893,0.438272
894,0.438351
895,0.438478
896,0.438558
897,0.438684
898,0.438763
899,0.438794
900,0.438779
901,0.438810
902,0.438794
903,0.438732
904,0.438716
905,0.438653
906,0.438638
907,0.438669
908,0.438654
909,0.438592
910,0.438576
911,0.438607
912,0.438592
913,0.438530
914,0.438515
915,0.438453
916,0.438346
917,0.438284
918,0.438269
919,0.438208
920,0.438193
921,0.438133
922,0.438026
923,0.437965
924,0.437859
925,0.437799
926,0.437784
927,0.437816
928,0.437893
929,0.437925
930,0.437910
931,0.437941
932,0.438018
933,0.438049
934,0.438035
935,0.438066
936,0.438142
937,0.438264
938,0.438340
939,0.438461
940,0.438536
941,0.438567
942,0.438642
943,0.438762
944,0.438927
945,0.439137
946,0.439301
947,0.439420
948,0.439583
949,0.439791
950,0.439954
951,0.440161
952,0.440323
953,0.440529
954,0.440780
955,0.441074
956,0.441412
957,0.441794
958,0.442130
959,0.442422
960,0.442757
961,0.443136
962,0.443470
963,0.443847
964,0.444179
965,0.444555
966,0.444974
967,0.445436
968,0.445941
969,0.446401
970,0.446903
971,0.447449
972,0.447950
973,0.448493
974,0.449035
975,0.449534
976,0.450074
977,0.450613
978,0.451111
979,0.451648
980,0.452183
981,0.452718
982,0.453215
983,0.453673
984,0.454168
985,0.454625
986,0.455118
987,0.455646
988,0.456173
989,0.456664
990,0.457119
991,0.457608
992,0.458060
993,0.458548
994,0.459069
995,0.459554
996,0.460003
997,0.460486
998,0.460933
999,0.461345
1000,0.461790
